Planet_Name,Planet_Radius,Planet_Mass,Orbital_Period,Semi_Major_Axis,Equilibrium_Temp,Planet_Density,Stellar_Temp,Stellar_Luminosity,Stellar_Metallicity,Habitability_Score_Index,Stellar_Compatibility_Index,Orbital_Stability_Factor,StarType_A,StarType_F,StarType_G,StarType_K,StarType_M,Target_Habitable
TOI-1601 b,14.19902343,387.0,5.33175,0.069,1493.97,0.74,5982.0,2.8468527213318002,0.343,0.05217810651530564,0.9907946312329025,0.18727484382324375,False,False,False,True,False,0
TOI-163 b,16.690201,387.7526,4.231306,0.058,1669.0,0.49,6495.0,2.8468527213318002,0.22,0.042830713058729424,0.8920420555820748,0.16151169217880124,False,True,False,False,False,0
TOI-1648 b,2.54,7.4,7.331602,0.0694,799.0,2.49,4850.0,0.9412608599916935,0.2,0.14500308499420045,0.8258234888177327,0.08091808788843088,False,False,False,True,False,1
TOI-1669 c,2.2963977,13.0,2.6800535,0.0376,1285.16,6.0,5497.0,0.9210007842348022,0.274,0.08799852218277236,0.9826061612737756,0.005441232908027941,False,False,False,True,False,0
TOI-1670 b,2.06,41.31769291,10.98462,0.103,1062.0,6.8187500000000005,6170.0,0.9412608599916935,0.09,0.18387451658748963,0.9664288921640458,0.08203940295752218,False,True,False,False,False,1
TOI-1670 c,11.06326395,200.23189641,22.411880912500003,0.16746499999999997,684.0,0.81,6170.0,0.9412608599916935,0.09,0.17847797622944672,0.9664288921640458,0.09597312868857896,False,True,False,False,False,1
TOI-1685 b,1.421,3.07,0.66913923,0.01164,1000.0,1.42,3470.0,0.9412608599916935,0.01,0.04749334998597653,0.30612934950211884,0.22798034050454008,False,False,False,False,True,0
TOI-169 b,12.172974,251.40353,2.2554477,0.03524,1715.0,0.76,5880.0,1.7889985970929478,0.24,0.03928340742486275,0.9976906706134507,0.058392136330491604,False,False,True,False,False,0
TOI-1694 b,5.3422266,31.3,3.770107,0.045,943.19,1.13,5058.0,0.38199704203633117,0.131,0.115895328999424,0.8911878885041844,0.06720660979310619,False,False,False,True,False,1
TOI-1695 b,1.9,6.36,3.1342791,0.033548,698.0,5.0,3690.0,0.2714344707869742,0.0,0.14933249014598604,0.379526065769695,0.2846004747754645,False,False,False,False,True,1
TOI-1710 b,5.20315158,22.4,22.411880912500003,0.166,602.99,0.87,5684.0,0.8639925546191204,0.147,0.23443794186079261,0.9980383709585089,0.08452770086774075,False,False,False,True,False,1
TOI-172 b,10.816685,762.4431696,9.47725,0.0914,1198.0,6.8187500000000005,5645.0,2.8468527213318002,0.148,0.07268166921533818,0.9960768269415046,0.05457819071861414,False,False,False,True,False,0
TOI-1728 b,5.05,26.78,3.49151,0.0391,767.0,1.14,3980.0,0.2714344707869742,0.25,0.12647424781094227,0.48753124958351435,0.18183751075535007,False,False,False,False,True,1
TOI-1736 b,3.18175535,12.3,7.073076,0.073,1099.79,2.09,5636.0,1.865004997975156,0.148,0.10420038000098447,0.9955291353156903,0.015890773350640392,False,False,False,True,False,1
TOI-1742 b,2.36507598,9.7,21.269084,0.154,694.09,4.0,5815.0,1.3219955705065183,0.193,0.2307532989076007,0.9996958240486657,0.03223587661495414,False,False,False,True,False,1
TOI-1749 b,1.39,57.0,2.38839,0.0291,831.0,1.42,3985.0,0.9412608599916935,-0.26,0.09186512574934291,0.48948038520905673,0.23211503883794174,False,False,False,False,True,1
TOI-1749 c,2.12,14.0,4.4929,0.0443,673.0,1.42,3985.0,0.9412608599916935,-0.26,0.11695157126131593,0.48948038520905673,0.2385557066798571,False,False,False,False,True,1
TOI-1749 d,2.52,15.0,9.0497,0.0707,533.0,1.42,3985.0,0.9412608599916935,-0.26,0.16149927305500977,0.48948038520905673,0.23930935831862715,False,False,False,False,True,1
TOI-1751 b,2.9507845,19.5,22.411880912500003,0.16746499999999997,651.64,4.13,5970.0,1.9829876069060952,-0.373,0.20531814641403487,0.991841462993374,0.09597312868857896,False,False,False,True,False,1
TOI-1753 b,2.47852533,16.6,5.3846104,0.059,1005.43,5.95,5621.0,0.8520007949880714,0.026,0.1277381495710963,0.9945374188982666,0.024456314470071645,False,False,False,True,False,1
TOI-1759 b,3.14,10.8,18.85019,0.1177,443.0,1.91,4065.0,0.2714344707869742,0.05,0.33313591505306267,0.5209600081311523,0.21301838067390247,False,False,False,False,True,1
TOI-1774.01,2.78,8.5,16.70988,0.054235,824.0,1.42,5746.0,0.9412608599916935,-0.02,0.11953885610273166,0.9997724703332461,1.1154208680179194,False,False,False,True,False,1
TOI-1775 b,8.04728896,96.0,10.2405549,0.08,707.89,1.01,5284.0,0.4830031910412297,0.162,0.14954696202077916,0.947214011682935,0.1859012964737052,False,False,False,True,False,1
TOI-1776 b,1.21612741,1.4,2.799868,0.0378,1269.21,4.13,5785.0,0.8849933350369471,-0.193,0.10250120444817724,0.9999891111703948,0.03598040598241968,False,False,False,True,False,1
TOI-1789 b,16.14093221,222.4798849,3.208664,0.04882,1927.0,0.28,5991.0,2.8468527213318002,0.373,0.03703177090051394,0.9899686529912571,0.17645040602914686,False,True,False,False,False,0
TOI-1794 b,3.29701268,8.7,8.765528,0.082,992.91,1.31,5631.0,1.5749979759188242,0.035,0.12118616148274206,0.9952095111690844,0.01890061339060401,False,False,False,True,False,1
TOI-1801 b,2.079,5.738,10.64387,0.054235,493.7,3.701,3863.0,0.2714344707869742,-0.19,0.2173355030978754,0.4426663783690178,0.7239769835728759,False,False,False,False,True,1
TOI-1803 b,2.99,10.32,6.293287,0.06,747.0,2.15031,4687.0,0.2714344707869742,0.014,0.19402955204665617,0.7675843610459832,0.1375753176280302,False,False,False,True,False,1
TOI-1803 c,4.29,8.0,12.885779,0.097,588.0,0.419035,4687.0,0.2714344707869742,0.014,0.2553968171736892,0.7675843610459832,0.13459891078517788,False,False,False,True,False,1
TOI-1807 b,1.49681583,2.44,0.54937097,0.0122,1694.1,3.98,4914.0,0.29300160545018455,0.044,0.061968175486894254,0.8471411086805012,0.06391522121258723,False,False,False,True,False,0
TOI-181 b,6.9559,46.1687,4.532,0.0539,895.1,0.7562,4994.0,0.2980025634911582,0.272,0.13321545598210707,0.8723276133733361,0.007319798928677536,False,False,False,True,False,1
TOI-1811 b,11.14172682,308.9292116,3.7130765,0.04389,962.2,1.23,4766.0,0.2753024016145934,0.306,0.10180749615567826,0.7964526845873368,0.08626619733281848,False,False,False,True,False,1
TOI-1820 b,12.778238,731.0053361,4.860674,0.061,1375.0,2.0,5734.0,0.9412608599916935,0.14,0.07343723670458256,0.9995698703100877,0.1072407226080034,False,False,False,True,False,0
