Planet_Radius,Planet_Mass,Orbital_Period,Semi_Major_Axis,Equilibrium_Temp,Planet_Density,Stellar_Temp,Stellar_Luminosity,Stellar_Metallicity,StarType_A,StarType_F,StarType_G,StarType_K,StarType_M,Habitability_Score,Predicted_Class,Rank
14.90797,305.1168,4.9546416,0.0617,1487.0,0.55,6400.0,0.9412608599916936,0.0,False,False,False,True,False,0.00054215477,0,142
12.811887,762.4431696,5.4060425,0.0673,1557.0,2.2,6400.0,2.8468527213318,0.16,False,False,False,True,False,0.00052806875,0,143
12.71098411,762.4431696,5.55149296,0.0665,1391.0,3.9,6426.0,2.749982942426036,0.138,False,False,False,True,False,0.00048070605,0,144
15.13212395,65.15482343,4.73620865,0.0623,1712.0,1.42,5375.0,0.9412608599916936,0.17,False,False,False,True,False,0.00043455654,0,145
14.784671,166.86075,4.46529976,0.05561,1322.0,0.282,5980.0,0.9412608599916936,0.13,False,False,False,True,False,0.00037160644,0,146
3.51,26.0,1.1947268,0.02234,1860.0,3.31,5634.0,0.9900109542601704,0.14,False,False,True,False,False,0.00033351238,0,147
18.786284,762.4431696,4.7869491,0.06555,1930.0,1.02,7394.0,2.8468527213318,-0.069,False,False,False,True,False,0.00032238703,0,148
18.27067,200.2329,3.916243,0.0562,1840.0,0.193,6430.0,0.9412608599916936,0.11,False,True,False,False,False,0.00030405534,0,149
3.02,11.0,1.348335,0.0229,1441.0,2.2,4960.0,0.9412608599916936,0.37,False,False,False,True,False,0.00029686026,0,150
12.21781,387.7526,3.634433,0.0494,1590.0,1.2,6272.0,0.9412608599916936,-0.09,False,False,False,True,False,0.0002870445,0,151
15.871944,187.5197,3.5224991,0.0474,1680.0,0.27,6213.0,0.9412608599916936,-0.055,False,False,False,True,False,0.00027977265,0,152
12.498035,87.40325,4.60273,0.0549,1404.0,0.263,5702.0,0.9412608599916936,0.092,False,False,True,False,False,0.00025393718,0,153
16.14096,163.36462,4.0460435,0.05453,1729.0,0.233,6410.0,0.9412608599916936,0.16,False,True,False,False,False,0.00022705505,0,154
10.72699453,81.99972901,4.5661061,0.0557,1286.0,0.364,5723.0,1.4200054133327475,0.324,False,False,False,True,False,0.00022152028,0,155
11.77,762.4431696,3.6313,0.048,1660.0,3.0,5900.0,0.9412608599916936,0.05,False,False,True,False,False,0.00020759826,0,156
13.89916,190.698,3.37265,0.0449,1400.0,0.43,6050.0,0.9412608599916936,-0.02,False,True,False,False,False,0.0001908199,0,157
13.89916,286.047,3.409264,0.048,1540.0,0.61,6600.0,0.9412608599916936,0.1,False,True,False,False,False,0.0001708723,0,158
15.91675259,181.16219199,3.31211,0.044,1750.0,0.24,5680.0,0.9412608599916936,-0.03,False,False,False,True,False,0.00016503916,0,159
14.022459,207.54299,4.6058749,0.05475,1212.0,0.411,5670.0,1.0699906927079144,0.16,False,False,True,False,False,0.0001528871,0,160
14.829507,298.12454,2.255251,0.03302,1561.0,0.503,5899.0,1.0810107182102051,-0.105,False,False,True,False,False,0.0001365924,0,161
13.540472,314.6517,3.0652907,0.04403,1571.0,0.74,6229.0,0.9412608599916936,0.15,False,True,False,False,False,0.000116874646,0,162
18.10250383,122.6817651,4.880974,0.0607,1387.0,0.092,6100.0,2.189979250353058,-0.15,False,True,False,False,False,0.00011275179,0,163
12.22,108.06,3.21751883,0.0414,1300.0,0.26,5725.0,0.8147042840208396,-0.21,False,False,True,False,False,0.000103104576,0,164
12.778238,743.71847238,4.0966692,0.05593,1772.0,1.96,6500.0,2.8468527213318,-0.104,False,False,False,True,False,8.695351e-05,0,165
16.6117094,184.02264765,5.4233207,0.0604,1350.0,0.22,5692.0,2.030018519859684,-0.048,False,False,False,True,False,8.452547e-05,0,166
11.433,420.471,2.516729,0.0362,1315.0,1.55,5403.0,0.6501296903430906,0.43,False,False,True,False,False,8.141243e-05,0,167
11.54527,425.8922,2.798581,0.037,1160.0,1.59,4920.0,0.9412608599916936,0.19,False,False,False,True,False,7.4410484e-05,0,168
14.20177855,194.82881349,4.0764326,0.0504,1327.0,1.42,6057.0,1.919994567954288,-0.26,False,True,False,False,False,7.341282e-05,0,169
18.28184752,182.43350562,4.7947813,0.06277,1772.0,0.164,6212.0,2.8468527213318,0.037,False,False,False,True,False,6.885913e-05,0,170
15.02006,189.10885,3.8537768,0.04753,1312.0,0.303,5644.0,1.1099923866362844,0.07,False,False,False,True,False,6.6790555e-05,0,171
17.71022,161.45764,3.071722,0.03957,1142.0,0.172,5017.0,0.9412608599916936,0.25,False,False,False,True,False,6.4695894e-05,0,172
12.44196858,734.18362017,4.28088,0.0555,1472.0,2.09,6058.0,2.3999931380578885,0.207,False,False,False,True,False,6.4004926e-05,0,173
13.57407563,263.79757781,2.4545467,0.03515,1397.0,0.577,5627.0,0.7859953921102107,0.07,False,False,False,True,False,5.5760567e-05,0,174
13.15934334,533.95172376,2.3505614,0.03386,1544.0,1.28,5691.0,1.0890053165575284,0.013,False,False,False,True,False,5.538922e-05,0,175
12.97999965,721.47048389,2.0180231,0.03144,1488.0,1.82,5609.0,0.8069934318550629,0.148,False,False,False,True,False,4.617277e-05,0,176
13.7646283,378.21580433,3.971281,0.0505,1539.0,0.79,6190.0,2.3900115514847267,-0.114,False,False,False,True,False,4.5783505e-05,0,177
14.60530185,397.28550875,3.9540709,0.05448,1639.0,0.7,6206.0,2.8468527213318,0.216,False,False,False,True,False,4.5682937e-05,0,178
15.27784069,260.61929374,4.33454,0.05354,1531.0,0.4,6000.0,2.623976855054821,0.021,False,False,False,True,False,4.5548775e-05,0,179
10.5140239,75.96098927,3.671463,0.04988,1486.0,0.358,5710.0,2.0150229644764868,0.44,False,False,False,True,False,3.9062943e-05,0,180
13.56289,368.6828,2.176423,0.0345,1790.0,0.88,5700.0,0.9412608599916936,0.29,False,False,True,False,False,3.811648e-05,0,181
13.26022417,252.35575516,2.8807198,0.04036,1395.0,0.595,5640.0,1.026006235060247,0.25,False,False,False,True,False,3.6972353e-05,0,182
15.681391,215.80657,4.1662739,0.0525,1377.0,0.308,5948.0,1.6499850149526083,0.09,False,False,True,False,False,3.5896814e-05,0,183
13.809488,410.0007,3.5862202,0.05071,1741.0,0.856,6147.0,2.8468527213318,0.21,False,False,False,True,False,3.3700053e-05,0,184
13.89913607,242.82090295,3.24253,0.0391,1457.0,0.5,5650.0,0.9412608599916936,0.15,False,False,True,False,False,3.36548e-05,0,185
15.984,283.492,3.128992,0.0452,1652.0,0.38,6330.0,2.51188643150958,0.07,False,False,False,True,False,3.3601085e-05,0,186
16.06246934,434.15360396,2.18053332,0.03552,1759.0,0.577,6180.0,2.0100182471136936,0.337,False,False,False,True,False,3.2933014e-05,0,187
14.773462,471.65972,1.9616241,0.03159,1778.0,0.8,5956.0,1.6499850149526083,0.0,False,False,False,True,False,3.2748205e-05,0,188
13.60770257,165.27077164,3.4678796,0.0479,1499.0,1.42,5820.0,2.792029483027305,0.27,False,False,True,False,False,3.067401e-05,0,189
17.82231,248.86089,2.972086,0.04363,1896.0,0.242,6002.0,2.8468527213318,0.035,False,False,True,False,False,2.9755345e-05,0,190
15.278,441.77,1.2119189,0.02383,2212.0,0.68,6050.0,2.238721138568339,0.07,False,False,False,True,False,2.7789496e-05,0,191
14.90794433,750.07504052,1.5433897,0.0236,1357.0,1.25,4660.0,0.9412608599916936,-0.26,False,False,False,True,False,2.7133941e-05,0,192
14.84069045,189.42573057,3.5852313,0.04628,1367.0,0.318,5804.0,1.2489929874293308,0.003,False,False,False,True,False,2.4115165e-05,0,193
